"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Upp1",4.12417372950591e-38,1.34552853842501,0.843,0.352,5.45339492252566e-34,"Neutrophils","Upp1"
"Ccnl1",7.43988807911037e-38,0.671114502237858,0.87,0.367,9.83776400700765e-34,"Neutrophils","Ccnl1"
"Slc7a11",8.35965418515328e-38,0.470763137110977,0.753,0.203,1.10539707290282e-33,"Neutrophils","Slc7a11"
"H2afy",9.97367139770319e-38,-1.38334621410867,0.035,0.305,1.31881856891829e-33,"Neutrophils","H2afy"
"Atp5h",1.41835566120044e-37,-1.14960774594119,0.167,0.422,1.87549169080534e-33,"Neutrophils","Atp5h"
"Ankrd33b",2.61071366095525e-37,0.943021873801897,0.754,0.203,3.45214667388113e-33,"Neutrophils","Ankrd33b"
"Atp5g1",3.95405523142691e-37,-1.39870699306983,0.034,0.32,5.2284472325158e-33,"Neutrophils","Atp5g1"
"Nlrp3",7.98188629801323e-37,1.32638397706447,0.711,0.172,1.05544482518629e-32,"Neutrophils","Nlrp3"
"Ier5",1.08272922902434e-36,0.390240047863758,0.907,0.453,1.43169285953888e-32,"Neutrophils","Ier5"
"Tnfrsf1b",5.33216066368095e-36,1.09854415329161,0.79,0.266,7.05071604558532e-32,"Neutrophils","Tnfrsf1b"
"Slfn4",6.62995469832014e-36,1.56804870006699,0.65,0.109,8.76678909758872e-32,"Neutrophils","Slfn4"
"Selenow",6.91856671244245e-36,-1.06265179787081,0.013,0.281,9.14842076386265e-32,"Neutrophils","Selenow"
"AW112010",6.98908772986705e-36,-1.80156167549393,0.055,0.352,9.2416707052032e-32,"Neutrophils","AW112010"
"Fth1",1.00999835485081e-35,0.541549715111761,1,1,1.33552082461922e-31,"Neutrophils","Fth1"
"Nudt4",1.6060163485316e-35,1.03774069253545,0.708,0.164,2.12363541766333e-31,"Neutrophils","Nudt4"
"Nol7",1.66606198613025e-35,-1.03213948003631,0.023,0.32,2.20303376426002e-31,"Neutrophils","Nol7"
"Pnrc1",1.89949345969352e-35,0.72702116900773,0.906,0.484,2.51170020175274e-31,"Neutrophils","Pnrc1"
"Atp5e",1.9020601918715e-35,-0.834566882684204,0.524,0.523,2.51509419171168e-31,"Neutrophils","Atp5e"
"Chchd2",2.49427585696616e-35,-0.810097382013336,0.614,0.609,3.29818096566635e-31,"Neutrophils","Chchd2"
"Rpl36al",3.36037192536286e-35,-1.30730470676343,0.086,0.406,4.44341979690732e-31,"Neutrophils","Rpl36al"
"Snrpe",4.82658486557337e-35,-1.26064737316891,0.061,0.383,6.38219316774767e-31,"Neutrophils","Snrpe"
"Zfp36",6.26897000308313e-35,1.19811013963552,0.827,0.336,8.28945903507683e-31,"Neutrophils","Zfp36"
"Hspd1",7.10303544949636e-35,-1.29488161364444,0.023,0.297,9.39234377486904e-31,"Neutrophils","Hspd1"
"Gbp2",8.88068303241699e-35,1.49923225617268,0.727,0.203,1.1742927173765e-30,"Neutrophils","Gbp2"
"Ndel1",1.08562205579559e-34,1.20780766582271,0.644,0.133,1.4355180443785e-30,"Neutrophils","Ndel1"
"Cct2",1.26172640686417e-34,-1.14736839146979,0.038,0.352,1.6683808277965e-30,"Neutrophils","Cct2"
"Slc25a5",1.90956041507926e-34,-1.10789996388036,0.107,0.383,2.5250117368593e-30,"Neutrophils","Slc25a5"
